,pPTEN,pPI3K,pAKT,pGSK3B,PTEN,PI3K,AKT,GSK3B,LPS,bpV,LY294002,HDACi,LiCl,ATP,ADP,P2Y12G
0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0999099909990999,0.004294613544713028,0.013750713693995342,1.0453299860586509e-05,1.2884345365129005e-07,0.9957053864552871,0.9862492863060046,0.9999895467001395,0.9999998711565464,0.19016226562059602,0.0,0.0,0.0,0.0,0.142621699215447,0.0007219026446067056,2.3663301228663216e-05
0.1998199819981998,0.008473251092973776,0.043933296432133166,0.0002028528785696585,4.750868345944105e-06,0.9915267489070263,0.9560667035678669,0.9997971471214304,0.9999952491316542,0.36224369114025085,0.0,0.0,0.0,0.0,0.2716827683551882,0.0027858277224851865,0.00017974203092100264
0.2997299729972997,0.012538980746823667,0.08714116266180555,0.0011711754005990335,4.078450367538614e-05,0.9874610192531764,0.9128588373381945,0.9988288245994009,0.9999592154963246,0.5179634194397515,0.0,0.0,0.0,0.0,0.3884725645798136,0.006050150787669933,0.0005761628231377788
0.3996399639963996,0.016494579038239057,0.13988505741829863,0.003917349267379764,0.00018404447374997338,0.9835054209617611,0.8601149425817014,0.99608265073262,0.9998159555262501,0.6588771393243349,0.0,0.0,0.0,0.0,0.4941578544932512,0.010386852294235083,0.001297484964524578
0.49954995499549953,0.020342300985221374,0.19885962548701205,0.00948664842595724,0.0005717306250595277,0.9796576990147788,0.8011403745129879,0.9905133515740425,0.9994282693749404,0.786392622810961,0.0,0.0,0.0,0.0,0.5897944671082207,0.01568022297863627,0.002408098139107003
0.5994599459945994,0.024083665989855993,0.2611233451332027,0.018513808624495226,0.001386867497587017,0.9759163340101442,0.7388766548667972,0.9814861913755045,0.9986131325024129,0.9017837894231258,0.0,0.0,0.0,0.0,0.6763378420673444,0.021825691995362544,0.003954990120771475
0.6993699369936993,0.027719368445577968,0.32419941651788664,0.031025202675766604,0.0028218961845659944,0.9722806315544221,0.6758005834821135,0.9689747973242332,0.9971781038154338,1.006203432975295,0.0,0.0,0.0,0.0,0.7546525747314712,0.028728766510193817,0.005970166030013459
0.7992799279927992,0.03124935114910063,0.38611201365621434,0.04656549124932102,0.005042349149014626,0.9687506488508995,0.6138879863437856,0.9534345087506788,0.9949576508509852,1.1006947383225798,0.0,0.0,0.0,0.0,0.8255210537419349,0.03630407212811102,0.008472780788153729
0.8991899189918992,0.03467299746121042,0.44537467267501013,0.064453655137219,0.00816545096426612,0.9653270025387897,0.5546253273249899,0.9355463448627809,0.9918345490357338,1.18620170313422,0.0,0.0,0.0,0.0,0.889651277350665,0.04447448456766126,0.011471030953479929
0.9990999099909991,0.03798936814249619,0.5009469376697931,0.08398885675737097,0.012254935915027241,0.962010631857504,0.4990530623302069,0.9160111432426288,0.9877450640849725,1.2635785687086072,0.0,0.0,0.0,0.0,0.9476839265314553,0.05317034391364859,0.014963840751190002
1.0990099009900989,0.04119742511837049,0.5521730619502357,0.10455693073764073,0.017326177464950365,0.9588025748816298,0.44782693804976426,0.895443069262359,0.9826738225350494,1.3335983540959286,0.0,0.0,0.0,0.0,1.0001987655719464,0.06232874359265967,0.01894236882838174
1.1989198919891988,0.044296213687304596,0.5987135025031817,0.12566336559464109,0.02335556859999004,0.9557037863126956,0.40128649749681833,0.8743366344053585,0.9766444314000097,1.3969605788292867,0.0,0.0,0.0,0.0,1.047720434121965,0.07189288696303452,0.02339135616415745
1.2988298829882987,0.04728499630901308,0.6404768413635548,0.14692886035763175,0.030290463443113452,0.9527150036909872,0.35952315863644535,0.8530711396423678,0.9697095365568863,1.4542982513308598,0.0,0.0,0.0,0.0,1.0907236884981448,0.08181150509708345,0.028290331143651398
1.3987398739873986,0.05016334197080389,0.6775570586563999,0.16807120371750833,0.03805802003972769,0.9498366580291963,0.32244294134360013,0.8319287962824913,0.961941979960272,1.506184192865484,0.0,0.0,0.0,0.0,1.1296381446491128,0.09203832993286742,0.0336146847050566
1.4986498649864985,0.05293117905539103,0.7101788801202181,0.18888506061417,0.04657245605419285,0.9470688209446092,0.28982111987978193,0.8111149393858297,0.9534275439458069,1.5531367602645254,0.0,0.0,0.0,0.0,1.164852570198394,0.10253161752698366,0.03933662625591418
1.5985598559855985,0.05558881989730034,0.7386522961150498,0.20922410127954355,0.05574074635313572,0.9444111801026999,0.2613477038849502,0.7907758987204562,0.944259253646864,1.595625024262579,0.0,0.0,0.0,0.0,1.196718768196934,0.11325371667149299,0.04542602947713417
1.6984698469846984,0.058136964371295806,0.7633362435123898,0.22898661150321314,0.06546697821094662,0.9418630356287045,0.23666375648761026,0.7710133884967866,0.9345330217890531,1.6340734558928913,0.0,0.0,0.0,0.0,1.2255550919196685,0.12417067850451255,0.0518511762580224
1.7983798379837983,0.06057668831011068,0.7846107369707996,0.24810435951125231,0.07565560701250154,0.9394233116898896,0.21538926302920056,0.7518956404887474,0.9243443929874982,1.6688661670185714,0.0,0.0,0.0,0.0,1.2516496252639284,0.13525190327473227,0.05857940608299072
1.8982898289828982,0.06290942142612452,0.8028563849764915,0.26653416480621295,0.08621383537148737,0.9370905785738758,0.19714361502350858,0.7334658351937869,0.9137861646285124,1.7003507476907986,0.0,0.0,0.0,0.0,1.2752630607680988,0.14646982070226874,0.06557767790426892
1.9981998199819981,0.06513691835686083,0.8184400666026272,0.28425155506759414,0.09705330366236596,0.9348630816431395,0.1815599333973729,0.7157484449324056,0.9029466963376338,1.728841738872412,0.0,0.0,0.0,0.0,1.296631304154309,0.15779960072433885,0.07281305119399357
2.098109810981098,0.06726122545394145,0.8317056055420389,0.3012460198523684,0.10809123641084822,0.9327387745460588,0.16829439445796116,0.6987539801476313,0.8919087635891515,1.7546237738431247,0.0,0.0,0.0,0.0,1.3159678303823432,0.16921889184941216,0.08025309237509955
2.1980198019801978,0.06928464569840893,0.842968195866416,0.31751739846078525,0.11925118140437135,0.9307153543015914,0.15703180413358406,0.6824826015392144,0.8807488185956285,1.777954423686619,0.0,0.0,0.0,0.0,1.3334658177649639,0.18070758416983723,0.08786621360802528
2.2979297929792977,0.07120970267272861,0.8525118515905329,0.3330731946455149,0.13046340642250503,0.9287902973272717,0.147488148409467,0.6669268053544848,0.8695365935774948,1.7990667690134152,0.0,0.0,0.0,0.0,1.3493000767600611,0.19224759518679413,0.09562194885386549
2.3978397839783976,0.07303910527199844,0.8605888687272489,0.3479265240894569,0.14166505667106036,0.9269608947280018,0.139411131272751,0.6520734759105427,0.8583349433289394,1.8181717286049204,0.0,0.0,0.0,0.0,1.3636287964536897,0.20382267589047223,0.1034911740975409
2.4977497749774975,0.07477571381265677,0.8674206999514725,0.362094546844887,0.15280012364116397,0.9252242861873434,0.13257930004852744,0.6379054531551127,0.8471998763588359,1.8354601669727888,0.0,0.0,0.0,0.0,1.3765951252295912,0.21541823526264128,0.11144627719468225
2.5976597659765974,0.07642250784388552,0.8731998165250606,0.3755972722690451,0.1638192693025384,0.9235774921561146,0.12680018347493932,0.6244027277309547,0.8361807306974615,1.8511048009943114,0.0,0.0,0.0,0.0,1.3883286007457332,0.22702118152156933,0.11946128260618152
2.6975697569756973,0.07798255634024696,0.8780920698268598,0.38845664607519165,0.1746795502107305,0.9220174436597532,0.12190793017314003,0.6115433539248083,0.8253204497892693,1.8652619254620706,0.0,0.0,0.0,0.0,1.3989464440965527,0.23861977845611443,0.12751193654717294
2.7974797479747973,0.0794589902738169,0.8822393395966585,0.4006958492066845,0.18534406892712918,0.9205410097261834,0.11776066040334139,0.5993041507933153,0.8146559310728706,1.8780729744736844,0.0,0.0,0.0,0.0,1.408554730855263,0.250203515438517,0.13557575737846875
